Origin,Orig_code,Destination,Dest_code,Flow,vi1_origpop,wj1_destpop,vi2_origunemp,wj2_destunemp,vi3_origmedinc,wj3_destmedinc,vi4_origpctrent,wj4_destpctrent,flow_no_intra,offset,dist,unconstrainedEst1
Rest of NT,7RNTE,Greater Melbourne,2GMEL,700,89374,3999981,8.05,5.47,522.79,407.95,50.74,27.34,700,1,2323.404323813038,21
Rest of NT,7RNTE,Rest of Vic,2RVIC,792,89374,1345717,8.05,5.17,522.79,506.58,50.74,24.08,792,1,2190.310890366955,29
Rest of NT,7RNTE,Greater Brisbane,3GBRI,896,89374,2065998,8.05,5.86,522.79,767.08,50.74,33.19,896,1,2143.5144634804838,46
Rest of NT,7RNTE,Rest of Qld,3RQLD,3018,89374,2253723,8.05,6.22,522.79,446.48,50.74,32.57,3018,1,1183.4959061108757,89
Rest of NT,7RNTE,Greater Adelaide,4GADE,1296,89374,1225235,8.05,5.78,522.79,445.53,50.74,28.27,1296,1,1788.5513047792037,39
Rest of NT,7RNTE,Rest of SA,4RSAU,961,89374,368260,8.05,5.45,522.79,522.71,50.74,26.17,961,1,1198.930825944292,101
Rest of NT,7RNTE,Greater Perth,5GPER,699,89374,1728865,8.05,4.76,522.79,730.84,50.74,27.52,699,1,2215.369367233658,41
Rest of NT,7RNTE,Rest of WA,5RWAU,826,89374,502593,8.05,4.42,522.79,758.44,50.74,32.14,826,1,1302.4981466479921,124
Rest of NT,7RNTE,Greater Hobart,6GHOB,96,89374,211655,8.05,5.74,522.79,442.9,50.74,27.51,96,1,2913.873488321915,15
Rest of NT,7RNTE,Rest of Tas,6RTAS,213,89374,282509,8.05,6.84,522.79,540.45,50.74,24.95,213,1,2793.570450478074,19
Rest of NT,7RNTE,Greater Darwin,7GDAR,2684,89374,120586,8.05,3.6,522.79,902.6,50.74,41.42,2684,1,796.7099605674377,396
Rest of NT,7RNTE,Australian Capital Territory,8ACTE,229,89374,356586,8.05,3.58,522.79,881.46,50.74,30.74,229,1,2337.203575280075,45
Australian Capital Territory,8ACTE,Greater Sydney,1GSYD,6662,356586,4391673,3.58,5.74,881.46,780.64,30.74,31.77,6662,1,256.28930621519265,13192
Australian Capital Territory,8ACTE,Rest of NSW,1RNSW,15399,356586,2512952,3.58,6.12,881.46,509.97,30.74,27.2,15399,1,412.6977606157833,3324
Australian Capital Territory,8ACTE,Greater Melbourne,2GMEL,5229,356586,3999981,3.58,5.47,881.46,407.95,30.74,27.34,5229,1,430.81580497622184,2440
Australian Capital Territory,8ACTE,Rest of Vic,2RVIC,1204,356586,1345717,3.58,5.17,881.46,506.58,30.74,24.08,1204,1,452.58429544182025,2745
Australian Capital Territory,8ACTE,Greater Brisbane,3GBRI,4331,356586,2065998,3.58,5.86,881.46,767.08,30.74,33.19,4331,1,948.5476257105964,946
Australian Capital Territory,8ACTE,Rest of Qld,3RQLD,3954,356586,2253723,3.58,6.22,881.46,446.48,30.74,32.57,3954,1,1505.8846336633333,219
Australian Capital Territory,8ACTE,Greater Adelaide,4GADE,1359,356586,1225235,3.58,5.78,881.46,445.53,30.74,28.27,1359,1,936.2722731316492,564
Australian Capital Territory,8ACTE,Rest of SA,4RSAU,134,356586,368260,3.58,5.45,881.46,522.71,30.74,26.17,134,1,1368.3799747205962,310
Australian Capital Territory,8ACTE,Greater Perth,5GPER,1514,356586,1728865,3.58,4.76,881.46,730.84,30.74,27.52,1514,1,3055.550995423096,87
Australian Capital Territory,8ACTE,Rest of WA,5RWAU,285,356586,502593,3.58,4.42,881.46,758.44,30.74,32.14,285,1,2766.0833952291214,110
Australian Capital Territory,8ACTE,Greater Hobart,6GHOB,369,356586,211655,3.58,5.74,881.46,442.9,30.74,27.51,369,1,835.82240403889125,704
Australian Capital Territory,8ACTE,Rest of Tas,6RTAS,270,356586,282509,3.58,6.84,881.46,540.45,30.74,24.95,270,1,759.5870237544384,1040
Australian Capital Territory,8ACTE,Greater Darwin,7GDAR,617,356586,120586,3.58,3.6,881.46,902.6,30.74,41.42,617,1,3101.5768235586634,104
Australian Capital Territory,8ACTE,Rest of NT,7RNTE,211,356586,89374,3.58,8.05,881.46,522.79,30.74,50.74,211,1,2337.203575280075,106
